PP 000001,SVT 001,5/16/2019,Flowers Trimming of shrubs and bushes
PP 000002,SVT 002,9/16/2019,Replanting of plants
PP 000003,SVT 003,12/13/2019,Hard surfaces Dead Heading of plants
PP 000004,SVT 001,1/29/2020,Cutting the Grass Edging Weeding of boarders
PP 000005,SVT 002,6/19/2019,Replanting of plants
PP 000006,SVT 003,1/8/2020,Flowers Trimming of shrubs and bushes
PP 000007,SVT 001,2/22/2020,Replanting of plants
PP 000008,SVT 002,7/6/2019,Hard surfaces Dead Heading of plants
PP 000009,SVT 003,4/16/2019,Cutting the Grass Edging Weeding of boarders
PP 000010,SVT 001,1/19/2020,Replanting of plants
PP 000011,SVT 002,9/4/2019,Flowers Trimming of shrubs and bushes
PP 000012,SVT 003,9/10/2019,Replanting of plants
PP 000013,SVT 001,10/17/2019,Hard surfaces Dead Heading of plants
PP 000014,SVT 002,8/10/2019,Cutting the Grass Edging Weeding of boarders
PP 000015,SVT 003,12/1/2019,Replanting of plants
PP 000016,SVT 001,12/16/2019,Flowers Trimming of shrubs and bushes
PP 000017,SVT 002,9/9/2019,Replanting of plants
PP 000018,SVT 003,9/25/2019,Hard surfaces Dead Heading of plants
PP 000019,SVT 001,9/15/2019,Cutting the Grass Edging Weeding of boarders
PP 000020,SVT 002,1/30/2020,Replanting of plants
PP 000021,SVT 003,7/13/2019,Flowers Trimming of shrubs and bushes
PP 000022,SVT 001,4/4/2019,Replanting of plants
PP 000023,SVT 002,7/17/2019,Hard surfaces Dead Heading of plants
PP 000024,SVT 003,5/19/2019,Cutting the Grass Edging Weeding of boarders
PP 000025,SVT 001,7/6/2019,Replanting of plants
PP 000026,SVT 002,5/17/2019,Flowers Trimming of shrubs and bushes
PP 000027,SVT 003,2/28/2020,Replanting of plants
PP 000028,SVT 001,3/2/2020,Hard surfaces Dead Heading of plants
PP 000029,SVT 002,6/12/2019,Cutting the Grass Edging Weeding of boarders
PP 000030,SVT 003,12/20/2019,Replanting of plants
PP 000031,SVT 001,10/13/2019,Flowers Trimming of shrubs and bushes
PP 000032,SVT 002,6/4/2019,Replanting of plants
PP 000033,SVT 003,12/22/2019,Hard surfaces Dead Heading of plants
PP 000034,SVT 001,1/31/2020,Cutting the Grass Edging Weeding of boarders
PP 000035,SVT 002,1/12/2020,Replanting of plants
PP 000036,SVT 003,9/5/2019,Flowers Trimming of shrubs and bushes
PP 000037,SVT 001,3/11/2020,Replanting of plants
PP 000038,SVT 002,6/18/2019,Hard surfaces Dead Heading of plants
PP 000039,SVT 003,9/14/2019,Cutting the Grass Edging Weeding of boarders
PP 000040,SVT 001,2/24/2020,Replanting of plants
PP 000041,SVT 002,11/18/2019,Flowers Trimming of shrubs and bushes
PP 000042,SVT 003,2/1/2020,Replanting of plants
PP 000043,SVT 001,3/2/2020,Hard surfaces Dead Heading of plants
PP 000044,SVT 002,6/7/2019,Cutting the Grass Edging Weeding of boarders
PP 000045,SVT 003,6/27/2019,Replanting of plants
PP 000046,SVT 001,10/24/2019,Flowers Trimming of shrubs and bushes
PP 000047,SVT 002,9/29/2019,Replanting of plants
PP 000048,SVT 003,12/9/2019,Hard surfaces Dead Heading of plants
PP 000049,SVT 001,3/23/2019,Cutting the Grass Edging Weeding of boarders
PP 000050,SVT 002,12/20/2019,Replanting of plants
PP 000051,SVT 003,7/22/2019,Flowers Trimming of shrubs and bushes
PP 000052,SVT 001,7/15/2019,Replanting of plants
PP 000053,SVT 002,1/22/2020,Hard surfaces Dead Heading of plants
PP 000054,SVT 003,12/27/2019,Cutting the Grass Edging Weeding of boarders
PP 000055,SVT 001,6/9/2019,Replanting of plants
PP 000056,SVT 002,9/10/2019,Flowers Trimming of shrubs and bushes
PP 000057,SVT 003,7/4/2019,Replanting of plants
PP 000058,SVT 001,11/5/2019,Hard surfaces Dead Heading of plants
PP 000059,SVT 002,8/22/2019,Cutting the Grass Edging Weeding of boarders
PP 000060,SVT 003,4/8/2019,Replanting of plants
PP 000061,SVT 001,7/31/2019,Flowers Trimming of shrubs and bushes
PP 000062,SVT 002,10/16/2019,Replanting of plants
PP 000063,SVT 003,2/16/2020,Hard surfaces Dead Heading of plants
PP 000064,SVT 001,11/13/2019,Cutting the Grass Edging Weeding of boarders
PP 000065,SVT 002,1/15/2020,Replanting of plants
PP 000066,SVT 003,1/7/2020,Flowers Trimming of shrubs and bushes
PP 000067,SVT 001,8/25/2019,Replanting of plants
PP 000068,SVT 002,8/31/2019,Hard surfaces Dead Heading of plants
PP 000069,SVT 003,12/23/2019,Cutting the Grass Edging Weeding of boarders
PP 000070,SVT 001,9/30/2019,Replanting of plants
PP 000071,SVT 002,12/11/2019,Flowers Trimming of shrubs and bushes
PP 000072,SVT 003,9/25/2019,Replanting of plants
PP 000073,SVT 001,1/23/2020,Hard surfaces Dead Heading of plants
PP 000074,SVT 002,7/22/2019,Cutting the Grass Edging Weeding of boarders
PP 000075,SVT 003,6/19/2019,Replanting of plants
PP 000076,SVT 001,8/10/2019,Flowers Trimming of shrubs and bushes
PP 000077,SVT 002,3/22/2019,Replanting of plants
PP 000078,SVT 003,2/5/2020,Hard surfaces Dead Heading of plants
PP 000079,SVT 001,5/11/2019,Cutting the Grass Edging Weeding of boarders
PP 000080,SVT 002,3/26/2019,Replanting of plants
PP 000081,SVT 003,12/21/2019,Flowers Trimming of shrubs and bushes
PP 000082,SVT 001,4/23/2019,Replanting of plants
PP 000083,SVT 002,8/16/2019,Hard surfaces Dead Heading of plants
PP 000084,SVT 003,11/29/2019,Cutting the Grass Edging Weeding of boarders
PP 000085,SVT 001,1/31/2020,Replanting of plants
PP 000086,SVT 002,3/20/2019,Flowers Trimming of shrubs and bushes
PP 000087,SVT 003,12/11/2019,Replanting of plants
PP 000088,SVT 001,4/3/2019,Hard surfaces Dead Heading of plants
PP 000089,SVT 002,9/25/2019,Cutting the Grass Edging Weeding of boarders
PP 000090,SVT 003,3/24/2019,Replanting of plants
PP 000091,SVT 001,1/14/2020,Flowers Trimming of shrubs and bushes
PP 000092,SVT 002,12/1/2019,Replanting of plants
PP 000093,SVT 003,9/25/2019,Hard surfaces Dead Heading of plants
PP 000094,SVT 001,7/26/2019,Cutting the Grass Edging Weeding of boarders
PP 000095,SVT 002,1/30/2020,Replanting of plants
PP 000096,SVT 003,6/4/2019,Flowers Trimming of shrubs and bushes
PP 000097,SVT 001,8/26/2019,Replanting of plants
PP 000098,SVT 002,4/17/2019,Hard surfaces Dead Heading of plants
PP 000099,SVT 003,1/14/2020,Cutting the Grass Edging Weeding of boarders
PP 000100,SVT 001,8/31/2019,Replanting of plants
PP 000101,SVT 002,11/15/2019,Flowers Trimming of shrubs and bushes
PP 000102,SVT 003,1/13/2020,Replanting of plants
PP 000103,SVT 001,8/18/2019,Hard surfaces Dead Heading of plants
PP 000104,SVT 002,9/18/2019,Cutting the Grass Edging Weeding of boarders
PP 000105,SVT 003,12/24/2019,Replanting of plants
PP 000106,SVT 001,3/11/2020,Flowers Trimming of shrubs and bushes
PP 000107,SVT 002,3/20/2019,Replanting of plants
PP 000108,SVT 003,12/16/2019,Hard surfaces Dead Heading of plants
PP 000109,SVT 001,5/3/2019,Cutting the Grass Edging Weeding of boarders
PP 000110,SVT 002,11/12/2019,Replanting of plants
PP 000111,SVT 003,8/20/2019,Flowers Trimming of shrubs and bushes
PP 000112,SVT 001,3/11/2020,Replanting of plants
PP 000113,SVT 002,1/25/2020,Hard surfaces Dead Heading of plants
PP 000114,SVT 003,11/11/2019,Cutting the Grass Edging Weeding of boarders
PP 000115,SVT 001,8/17/2019,Replanting of plants
PP 000116,SVT 002,11/11/2019,Flowers Trimming of shrubs and bushes
PP 000117,SVT 003,7/9/2019,Replanting of plants
PP 000118,SVT 001,3/22/2019,Hard surfaces Dead Heading of plants
PP 000119,SVT 002,6/3/2019,Cutting the Grass Edging Weeding of boarders
PP 000120,SVT 003,9/24/2019,Replanting of plants
PP 000121,SVT 001,11/22/2019,Flowers Trimming of shrubs and bushes
PP 000122,SVT 002,12/1/2019,Replanting of plants
PP 000123,SVT 003,6/12/2019,Hard surfaces Dead Heading of plants
PP 000124,SVT 001,11/1/2019,Cutting the Grass Edging Weeding of boarders
PP 000125,SVT 002,12/1/2019,Replanting of plants
PP 000126,SVT 003,1/14/2020,Flowers Trimming of shrubs and bushes
PP 000127,SVT 001,8/27/2019,Replanting of plants
PP 000128,SVT 002,2/24/2020,Hard surfaces Dead Heading of plants
PP 000129,SVT 003,4/14/2019,Cutting the Grass Edging Weeding of boarders
PP 000130,SVT 001,2/29/2020,Replanting of plants
PP 000131,SVT 002,4/22/2019,Flowers Trimming of shrubs and bushes
PP 000132,SVT 003,10/6/2019,Replanting of plants
PP 000133,SVT 001,8/15/2019,Hard surfaces Dead Heading of plants
PP 000134,SVT 002,6/16/2019,Cutting the Grass Edging Weeding of boarders
PP 000135,SVT 003,3/25/2019,Replanting of plants
PP 000136,SVT 001,9/2/2019,Flowers Trimming of shrubs and bushes
PP 000137,SVT 002,12/17/2019,Replanting of plants
PP 000138,SVT 003,1/30/2020,Hard surfaces Dead Heading of plants
PP 000139,SVT 001,4/11/2019,Cutting the Grass Edging Weeding of boarders
PP 000140,SVT 002,11/20/2019,Replanting of plants
PP 000141,SVT 003,2/15/2020,Flowers Trimming of shrubs and bushes
PP 000142,SVT 001,12/10/2019,Replanting of plants
PP 000143,SVT 002,9/6/2019,Hard surfaces Dead Heading of plants
PP 000144,SVT 003,6/9/2019,Cutting the Grass Edging Weeding of boarders
PP 000145,SVT 001,2/16/2020,Replanting of plants
PP 000146,SVT 002,1/17/2020,Flowers Trimming of shrubs and bushes
PP 000147,SVT 003,3/24/2019,Replanting of plants
PP 000148,SVT 001,12/21/2019,Hard surfaces Dead Heading of plants
PP 000149,SVT 002,7/18/2019,Cutting the Grass Edging Weeding of boarders
PP 000150,SVT 003,12/30/2019,Replanting of plants
PP 000151,SVT 001,6/21/2019,Flowers Trimming of shrubs and bushes
PP 000152,SVT 002,1/12/2020,Replanting of plants
PP 000153,SVT 003,2/23/2020,Hard surfaces Dead Heading of plants
PP 000154,SVT 001,12/18/2019,Cutting the Grass Edging Weeding of boarders
PP 000155,SVT 002,7/1/2019,Replanting of plants
PP 000156,SVT 003,9/28/2019,Flowers Trimming of shrubs and bushes
PP 000157,SVT 001,10/31/2019,Replanting of plants
PP 000158,SVT 002,11/27/2019,Hard surfaces Dead Heading of plants
PP 000159,SVT 003,9/4/2019,Cutting the Grass Edging Weeding of boarders
PP 000160,SVT 001,2/11/2020,Replanting of plants
PP 000161,SVT 002,4/14/2019,Flowers Trimming of shrubs and bushes
PP 000162,SVT 003,12/21/2019,Replanting of plants
PP 000163,SVT 001,2/19/2020,Hard surfaces Dead Heading of plants
PP 000164,SVT 002,4/8/2019,Cutting the Grass Edging Weeding of boarders
PP 000165,SVT 003,2/28/2020,Replanting of plants
PP 000166,SVT 001,7/6/2019,Flowers Trimming of shrubs and bushes
PP 000167,SVT 002,7/23/2019,Replanting of plants
PP 000168,SVT 003,5/20/2019,Hard surfaces Dead Heading of plants
PP 000169,SVT 001,6/13/2019,Cutting the Grass Edging Weeding of boarders
PP 000170,SVT 002,1/20/2020,Replanting of plants
PP 000171,SVT 003,12/23/2019,Flowers Trimming of shrubs and bushes
PP 000172,SVT 001,8/3/2019,Replanting of plants
PP 000173,SVT 002,7/18/2019,Hard surfaces Dead Heading of plants
PP 000174,SVT 003,12/7/2019,Cutting the Grass Edging Weeding of boarders
PP 000175,SVT 001,4/18/2019,Replanting of plants
PP 000176,SVT 002,12/19/2019,Flowers Trimming of shrubs and bushes
PP 000177,SVT 003,10/28/2019,Replanting of plants
PP 000178,SVT 001,12/8/2019,Hard surfaces Dead Heading of plants
PP 000179,SVT 002,7/17/2019,Cutting the Grass Edging Weeding of boarders
PP 000180,SVT 003,5/8/2019,Replanting of plants
PP 000181,SVT 001,3/4/2020,Flowers Trimming of shrubs and bushes
PP 000182,SVT 002,10/22/2019,Replanting of plants
PP 000183,SVT 003,10/7/2019,Hard surfaces Dead Heading of plants
PP 000184,SVT 001,3/14/2020,Cutting the Grass Edging Weeding of boarders
PP 000185,SVT 002,11/15/2019,Replanting of plants
PP 000186,SVT 003,10/22/2019,Flowers Trimming of shrubs and bushes
PP 000001,SVT 003,6/25/2019,Replanting of plants
PP 000002,SVT 001,2/7/2020,Hard surfaces Dead Heading of plants
PP 000003,SVT 002,12/26/2019,Cutting the Grass Edging Weeding of boarders
PP 000004,SVT 003,9/21/2019,Replanting of plants
PP 000005,SVT 001,12/10/2019,Flowers Trimming of shrubs and bushes
PP 000006,SVT 002,4/25/2019,Replanting of plants
PP 000007,SVT 003,6/30/2019,Hard surfaces Dead Heading of plants
PP 000008,SVT 001,3/26/2019,Cutting the Grass Edging Weeding of boarders
PP 000009,SVT 002,2/8/2020,Replanting of plants
PP 000010,SVT 003,2/14/2020,Flowers Trimming of shrubs and bushes
PP 000011,SVT 001,10/30/2019,Replanting of plants
PP 000012,SVT 002,9/22/2019,Hard surfaces Dead Heading of plants
PP 000013,SVT 003,9/19/2019,Cutting the Grass Edging Weeding of boarders
PP 000014,SVT 001,2/12/2020,Replanting of plants
PP 000015,SVT 002,10/31/2019,Flowers Trimming of shrubs and bushes
PP 000016,SVT 003,8/16/2019,Replanting of plants
PP 000017,SVT 001,12/9/2019,Hard surfaces Dead Heading of plants
PP 000018,SVT 002,12/11/2019,Cutting the Grass Edging Weeding of boarders
PP 000019,SVT 003,10/29/2019,Replanting of plants
PP 000020,SVT 001,3/6/2020,Flowers Trimming of shrubs and bushes
PP 000021,SVT 002,11/27/2019,Replanting of plants
PP 000022,SVT 003,6/7/2019,Hard surfaces Dead Heading of plants
PP 000023,SVT 001,8/15/2019,Cutting the Grass Edging Weeding of boarders
PP 000024,SVT 002,9/3/2019,Replanting of plants
PP 000025,SVT 003,4/14/2019,Flowers Trimming of shrubs and bushes
PP 000026,SVT 001,12/23/2019,Replanting of plants
PP 000027,SVT 002,2/24/2020,Hard surfaces Dead Heading of plants
PP 000028,SVT 003,8/3/2019,Cutting the Grass Edging Weeding of boarders
PP 000029,SVT 001,8/4/2019,Replanting of plants
PP 000030,SVT 002,2/26/2020,Flowers Trimming of shrubs and bushes
PP 000031,SVT 003,10/9/2019,Replanting of plants
PP 000032,SVT 001,11/1/2019,Hard surfaces Dead Heading of plants
PP 000033,SVT 002,12/13/2019,Cutting the Grass Edging Weeding of boarders
PP 000034,SVT 003,12/24/2019,Replanting of plants
PP 000035,SVT 001,2/27/2020,Flowers Trimming of shrubs and bushes
PP 000036,SVT 002,4/9/2019,Replanting of plants
PP 000037,SVT 003,7/19/2019,Hard surfaces Dead Heading of plants
PP 000038,SVT 001,8/18/2019,Cutting the Grass Edging Weeding of boarders
PP 000039,SVT 002,4/13/2019,Replanting of plants
PP 000040,SVT 003,3/24/2019,Flowers Trimming of shrubs and bushes
PP 000041,SVT 001,11/5/2019,Replanting of plants
PP 000042,SVT 002,3/12/2020,Hard surfaces Dead Heading of plants
PP 000043,SVT 003,10/10/2019,Cutting the Grass Edging Weeding of boarders
PP 000044,SVT 001,8/24/2019,Replanting of plants
PP 000045,SVT 002,1/25/2020,Flowers Trimming of shrubs and bushes
PP 000046,SVT 003,3/16/2019,Replanting of plants
PP 000047,SVT 001,4/8/2019,Hard surfaces Dead Heading of plants
PP 000048,SVT 002,10/24/2019,Cutting the Grass Edging Weeding of boarders
PP 000049,SVT 003,3/7/2020,Replanting of plants
PP 000050,SVT 001,8/15/2019,Flowers Trimming of shrubs and bushes
PP 000051,SVT 002,8/16/2019,Replanting of plants
PP 000052,SVT 003,10/15/2019,Hard surfaces Dead Heading of plants
PP 000053,SVT 001,4/4/2019,Cutting the Grass Edging Weeding of boarders
PP 000054,SVT 002,1/26/2020,Replanting of plants
PP 000055,SVT 003,11/5/2019,Flowers Trimming of shrubs and bushes
PP 000056,SVT 001,9/12/2019,Replanting of plants
PP 000057,SVT 002,7/21/2019,Hard surfaces Dead Heading of plants
PP 000058,SVT 003,7/4/2019,Cutting the Grass Edging Weeding of boarders
PP 000059,SVT 001,6/26/2019,Replanting of plants
PP 000060,SVT 002,1/22/2020,Flowers Trimming of shrubs and bushes
PP 000061,SVT 003,5/26/2019,Replanting of plants
PP 000062,SVT 001,7/2/2019,Hard surfaces Dead Heading of plants
PP 000063,SVT 002,2/5/2020,Cutting the Grass Edging Weeding of boarders
PP 000064,SVT 003,5/27/2019,Replanting of plants
PP 000065,SVT 001,8/30/2019,Flowers Trimming of shrubs and bushes
PP 000066,SVT 002,9/2/2019,Replanting of plants
PP 000067,SVT 003,4/30/2019,Hard surfaces Dead Heading of plants
PP 000068,SVT 001,2/8/2020,Cutting the Grass Edging Weeding of boarders
PP 000069,SVT 002,12/6/2019,Replanting of plants
PP 000070,SVT 003,11/12/2019,Flowers Trimming of shrubs and bushes
PP 000071,SVT 001,6/22/2019,Replanting of plants
PP 000072,SVT 002,8/20/2019,Hard surfaces Dead Heading of plants
PP 000073,SVT 003,8/21/2019,Cutting the Grass Edging Weeding of boarders
PP 000074,SVT 001,12/25/2019,Replanting of plants
PP 000075,SVT 002,5/21/2019,Flowers Trimming of shrubs and bushes
PP 000076,SVT 003,12/30/2019,Replanting of plants
PP 000077,SVT 001,8/5/2019,Hard surfaces Dead Heading of plants
PP 000078,SVT 002,1/24/2020,Cutting the Grass Edging Weeding of boarders
PP 000079,SVT 003,12/16/2019,Replanting of plants
PP 000080,SVT 001,5/19/2019,Flowers Trimming of shrubs and bushes
PP 000081,SVT 002,6/13/2019,Replanting of plants
PP 000082,SVT 003,8/30/2019,Hard surfaces Dead Heading of plants
PP 000083,SVT 001,8/16/2019,Cutting the Grass Edging Weeding of boarders
PP 000084,SVT 002,3/11/2020,Replanting of plants
PP 000085,SVT 003,3/5/2020,Flowers Trimming of shrubs and bushes
PP 000086,SVT 001,9/12/2019,Replanting of plants
PP 000087,SVT 002,12/9/2019,Hard surfaces Dead Heading of plants
PP 000088,SVT 003,12/15/2019,Cutting the Grass Edging Weeding of boarders
PP 000089,SVT 001,10/19/2019,Replanting of plants
PP 000090,SVT 002,11/29/2019,Flowers Trimming of shrubs and bushes
PP 000091,SVT 003,2/4/2020,Replanting of plants
PP 000092,SVT 001,6/20/2019,Hard surfaces Dead Heading of plants
PP 000093,SVT 002,9/17/2019,Cutting the Grass Edging Weeding of boarders
PP 000094,SVT 003,8/5/2019,Replanting of plants
PP 000095,SVT 001,5/4/2019,Flowers Trimming of shrubs and bushes
PP 000096,SVT 002,11/1/2019,Replanting of plants
PP 000097,SVT 003,9/9/2019,Hard surfaces Dead Heading of plants
PP 000098,SVT 001,12/17/2019,Cutting the Grass Edging Weeding of boarders
PP 000099,SVT 002,2/11/2020,Replanting of plants
PP 000100,SVT 003,12/13/2019,Flowers Trimming of shrubs and bushes
PP 000101,SVT 001,7/29/2019,Replanting of plants
PP 000102,SVT 002,6/30/2019,Hard surfaces Dead Heading of plants
PP 000103,SVT 003,6/17/2019,Cutting the Grass Edging Weeding of boarders
PP 000104,SVT 001,2/5/2020,Replanting of plants
PP 000105,SVT 002,2/15/2020,Flowers Trimming of shrubs and bushes
PP 000106,SVT 003,3/23/2019,Replanting of plants
PP 000107,SVT 001,4/10/2019,Hard surfaces Dead Heading of plants
PP 000108,SVT 002,8/23/2019,Cutting the Grass Edging Weeding of boarders
PP 000109,SVT 003,4/16/2019,Replanting of plants
